class, subclass, source, intuition, cite, title, authors, venue, year, doi, selected projects, notes
"INCOMPATIBLE", "", "", "??", "Biswas:2019:MSR", "Exploring Word Embedding Techniques to Improve Sentiment Analysis of Software Engineering Texts", "Eeshita Biswas and K. Vijay-Shanker and Lori Pollock", "MSR", "2019", "10.1109/MSR.2019.00020", , "stack overflow posts"
"INCOMPATIBLE", "", "", "??", "Wang:2019:MSR", "Extracting API Tips from Developer Question and Answer Websites", "Shaohua Wang and Nhathai Phan and Yan Wang and Yong Zhao", "MSR", "2019", "10.1109/MSR.2019.00058", , "stack overflow posts"
"STARS", "TOP", "GitHub API", "??", "Liu:2019:MSR", "Generating Commit Messages from Diffs using Pointer-generator Network", "Qin Liu and Zihe Liu and Hongming Zhu and Hongfei Fan and Bowen Du and Yu Qian", "MSR", "2019", "10.1109/MSR.2019.00056", 2081, "2081 projects
Top Java projects."
"CURATED", "", "", "??", "Montandon:2019:MSR", "Identifying Experts in Software Libraries and Frameworks among GitHub Users", "João Eduardo Montandon and Luciana L. Silva and Marco Tulio Valente", "MSR", "2019", "10.1109/MSR.2019.00054", 3, "3 projects
react, mongodb, socket.io"
"STARS", "TOP", "another paper", "??", "Hayashi:2019:MSR", "Impacts of Daylight Saving Time on Software Development", "Junichi Hayashi and Yoshiki Higo and Shinsuke Matsumoto and Shinji Kusumoto", "MSR", "2019", "10.1109/MSR.2019.00076", 969, "969 + 2500 projects
projects containig merged pull-requests containing the phrase with ""daylight savings"" (etc)
They also compare the characteristics of their dataset with 2.5K top-starred repositories from another paper. I'm not sure that counts."
"STARS", "THRESHOLD", "GitHub", "??", "Theeten:2019:MSR", "Import2vec: learning embeddings for software libraries", "Bart Theeten and Frederik Vandeputte and Tom Van Cutsem", "MSR", "2019", "10.1109/MSR.2019.00014", 2072000, "120K + 260K + 380K + 310K + 110K + 260K + 130K + 110K + 130K + 69K + 100K + 93K
Java, Js, Python, Ruby, PHP, or C#
2+ stars,
deduplicate based on imports in source files"
"CURATED", "", "", "??", "Amann:2019:MSR", "Investigating Next-Steps in Static API-Misuse Detection", "Sven Amann and Hoan Nguyen and Sarah Nadi and Tien N. Nguyen and Mira Mezini", "MSR", "2019", "10.1109/MSR.2019.00053", 35, "5 + 30 projects (i think)
they combine datasets from a TR and another paper and i'm not sure how many projects there are exactly after all that
the TR provides 5 projects, apparently, which are the usual suspects: Linux, etc.
the paper has 200 projects that used Maven, 1+ test, all tests pass, form these they picked based on whether there are correct usages"
"CURATED", "", "PROMISE", "??", "Dam:2019:MSR", "Lessons learned from using a deep tree-based model for software defect prediction in practice", "Hoa Khanh Dam and Trang Pham and Shien Wee Ng and Truyen Tran and John Grundy and Aditya Ghose and Taeksu Kim and Chul-Joo Kim", "MSR", "2019", "10.1109/MSR.2019.00017", 10, "10 Java projects from PROMISE"
"INCOMPATIBLE", "", "", "??", "Gao:2019:MSR", "Negative Results on Mining Crypto-API Usage Rules in Android Apps", "Jun Gao and Pingfan Kong and Li Li and Tegawendé F. Bissyandé and Jacques Klein", "MSR", "2019", "10.1109/MSR.2019.00065", , "reverse engineers binary-like releases (apk) of android apps"
"CASE", "", "", "??", "Serra:2019:MSR", "On the Effectiveness of Manual and Automatic Unit Test Generation: Ten Years Later", "Domenico Serra and Giovanni Grano and Fabio Palomba and Filomena Ferrucci and Harald Gall and Alberto Bacchelli", "MSR", "2019", "10.1109/MSR.2019.00028", 1, "1 project (freenode)"
